school_id,school_name_en,school_name_zh,stage,curriculums,confidence,source,reason
sch_01079,Ying Wa Primary School (九龍城區),英華九龍城區小學（九龍城區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01080,St. Paul's College Primary School (離島區),聖保羅書院離島區小學（離島區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01081,Good Hope Primary School cum Kindergarten,德望灣仔區小學暨幼稚園,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01082,Raimondi College Primary Section,高主教書院大埔區小學部,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01083,St. Stephen's College Preparatory School,聖士提反書院附屬屯門區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01084,Kowloon Tong School (Primary Section),九龍塘學校（北區小學部）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01085,Rosaryhill School (Primary Section),玫瑰崗學校（小學部）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01086,St. Francis of Assisi's English Primary School,聖方濟各英文東區小學,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01087,Raimondi College Primary Section,高主教書院中西區小學部,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01088,Pooi To Primary School,香港培道小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01089,Good Hope Primary School cum Kindergarten (黃大仙區),德望小學暨幼稚園（東區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01090,Kowloon Tong School (Primary Section) (觀塘區),九龍塘學校（觀塘區小學部）（東區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01091,St. Stephen's College Preparatory School (九龍城區),聖士提反書院附屬小學（南區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01092,Pooi To Primary School (沙田區),香港培道小學（沙田區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01093,Rosaryhill School (Primary Section) (荃灣區),玫瑰崗學校（小學部）（荃灣區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01094,Kowloon Tong School (Primary Section) (南區),九龍塘學校（小學部）（第4校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01095,Kowloon Tong School (Primary Section) (離島區),九龍塘學校（小學部）（離島區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01096,St. Francis of Assisi's English Primary School (黃大仙區),聖方濟各英文黃大仙區小學（北區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01097,St. Stephen's College Preparatory School (中西區),聖士提反書院附屬小學（中西區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01098,St. Francis of Assisi's English Primary School (南區),聖方濟各英文南區小學（第3校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01099,Raimondi College Primary Section (南區),高主教書院小學部（南區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01100,St. Stephen's College Preparatory School (西貢區),聖士提反書院附屬西貢區小學（第5校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01101,St. Francis of Assisi's English Primary School (深水埗區),聖方濟各英文小學（西區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01102,Good Hope Primary School cum Kindergarten (九龍城區),德望小學暨幼稚園（九龍城區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01103,Kowloon Tong School (Primary Section) (觀塘區),九龍塘學校（觀塘區小學部）（觀塘區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01104,Pooi To Primary School (深水埗區),香港培道深水埗區小學（南區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01105,Raimondi College Primary Section (北區),高主教書院小學部（西區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01106,Good Hope Primary School cum Kindergarten (黃大仙區),德望小學暨黃大仙區幼稚園（西區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01107,Rosaryhill School (Primary Section) (東區),玫瑰崗學校（東區小學部）（北區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01108,Good Hope Primary School cum Kindergarten (大埔區),德望小學暨大埔區幼稚園（大埔區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01109,Rosaryhill School (Primary Section) (九龍城區),玫瑰崗學校（小學部）（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01110,Rosaryhill School (Primary Section) (南區),玫瑰崗學校（南區小學部）（第5校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01111,Good Hope Primary School cum Kindergarten (東區),德望小學暨東區幼稚園（東區分校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01112,Pooi To Primary School (西貢區),香港培道小學（西貢區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01113,Rosaryhill School (Primary Section) (東區),玫瑰崗學校（東區小學部）（第3校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01114,St. Stephen's College Preparatory School (大埔區),聖士提反書院附屬大埔區小學（大埔區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01115,Raimondi College Primary Section (南區),高主教書院南區小學部（南區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01116,Rosaryhill School (Primary Section) (油尖旺區),玫瑰崗學校（油尖旺區小學部）（油尖旺區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01117,Raimondi College Primary Section (離島區),高主教書院小學部（離島區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01118,St. Stephen's College Preparatory School (觀塘區),聖士提反書院附屬觀塘區小學（第3校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01119,Raimondi College Primary Section (元朗區),高主教書院小學部（西區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01120,Kowloon Tong School (Primary Section) (觀塘區),九龍塘學校（觀塘區小學部）（觀塘區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01121,Rosaryhill School (Primary Section) (沙田區),玫瑰崗學校（小學部）（第1校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01122,St. Francis of Assisi's English Primary School (黃大仙區),聖方濟各英文小學（西區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01123,Raimondi College Primary Section (南區),高主教書院小學部（南區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01124,Raimondi College Primary Section (東區),高主教書院小學部（第4校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01125,Good Hope Primary School cum Kindergarten (葵青區),德望葵青區小學暨葵青區幼稚園（東區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01126,Pooi To Primary School (深水埗區),香港培道深水埗區小學（北區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01127,St. Stephen's College Preparatory School (南區),聖士提反書院附屬南區小學（第2校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01128,Rosaryhill School (Primary Section) (灣仔區),玫瑰崗學校（灣仔區小學部）（灣仔區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01129,Kowloon Tong School (Primary Section) (屯門區),九龍塘學校（小學部）（北區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01130,St. Stephen's College Preparatory School (油尖旺區),聖士提反書院附屬小學（西區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01131,Rosaryhill School (Primary Section) (南區),玫瑰崗學校（小學部）（第1校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01132,Kowloon Tong School (Primary Section) (沙田區),九龍塘學校（小學部）（沙田區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01133,St. Stephen's College Preparatory School (離島區),聖士提反書院附屬小學（離島區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01134,Good Hope Primary School cum Kindergarten (北區),德望北區小學暨幼稚園（第4校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01135,Pooi To Primary School (黃大仙區),香港培道小學（黃大仙區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01136,Rosaryhill School (Primary Section) (深水埗區),玫瑰崗學校（深水埗區小學部）（南區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01137,Pooi To Primary School (灣仔區),香港培道小學（北區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01138,Raimondi College Primary Section (油尖旺區),高主教書院油尖旺區小學部（西區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01139,Kowloon Tong School (Primary Section) (沙田區),九龍塘學校（沙田區小學部）（南區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01140,Rosaryhill School (Primary Section) (深水埗區),玫瑰崗學校（小學部）（深水埗區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01141,Yan Chai Hospital Primary School,仁濟醫院小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01142,C.C.C. Primary School,中華基督教會東區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01143,Baptist Primary School,浸信會小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01144,Baptist Primary School,浸信會小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01145,Tung Wah Group of Hospitals Primary School,東華三院南區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01146,Salvation Army Primary School,救世軍北區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01147,Lutheran Primary School,路德會南區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01148,Lutheran Primary School,路德會小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01149,Catholic Primary School,天主教小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01150,C.C.C. Primary School,中華基督教會深水埗區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01151,Taoist Primary School,道教南區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01152,Tung Wah Group of Hospitals Primary School,東華三院小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01153,Salvation Army Primary School,救世軍南區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01154,Buddhist Primary School,佛教灣仔區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01155,Lutheran Primary School,路德會小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01156,Methodist Primary School (灣仔區),循道衛理小學（第1校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01157,S.K.H. Primary School (九龍城區),聖公會九龍城區小學（九龍城區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01158,Buddhist Primary School (灣仔區),佛教小學（灣仔區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01159,Methodist Primary School (中西區),循道衛理中西區小學（中西區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01160,Po Leung Kuk Primary School (葵青區),保良局小學（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01161,Taoist Primary School (黃大仙區),道教黃大仙區小學（黃大仙區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01162,Buddhist Primary School (九龍城區),佛教九龍城區小學（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01163,Baptist Primary School (灣仔區),浸信會小學（灣仔區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01164,Salvation Army Primary School (東區),救世軍東區小學（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01165,C.C.C. Primary School (北區),中華基督教會北區小學（第5校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01166,S.K.H. Primary School (荃灣區),聖公會荃灣區小學（荃灣區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01167,Lutheran Primary School (南區),路德會小學（南區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01168,Buddhist Primary School (黃大仙區),佛教小學（黃大仙區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01169,Baptist Primary School (中西區),浸信會中西區小學（中西區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01170,Po Leung Kuk Primary School (灣仔區),保良局小學（第5校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01171,Baptist Primary School (油尖旺區),浸信會油尖旺區小學（油尖旺區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01172,Baptist Primary School (觀塘區),浸信會觀塘區小學（第2校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01173,Pok Oi Hospital Primary School (油尖旺區),博愛醫院小學（第3校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01174,Methodist Primary School (屯門區),循道衛理屯門區小學（屯門區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01175,Po Leung Kuk Primary School (西貢區),保良局小學（第5校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01176,Po Leung Kuk Primary School (深水埗區),保良局小學（第1校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01177,Yan Chai Hospital Primary School (大埔區),仁濟醫院小學（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01178,Sik Sik Yuen Primary School (東區),嗇色園東區小學（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01179,Catholic Primary School (觀塘區),天主教小學（觀塘區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01180,Yan Chai Hospital Primary School (東區),仁濟醫院東區小學（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01181,Baptist Primary School (觀塘區),浸信會小學（觀塘區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01182,Methodist Primary School (大埔區),循道衛理小學（大埔區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01183,Yan Chai Hospital Primary School (東區),仁濟醫院東區小學（東區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01184,Tung Wah Group of Hospitals Primary School (觀塘區),東華三院觀塘區小學（東區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
