id,name,nameEn,level,type,fundingType,curriculums,confidence,reason
sch_01028,美國國際葵青區小學（葵青區分校）,American School Hong Kong Primary (葵青區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01029,加拿大國際小學（東區）,Canadian International School Primary (中西區),小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01030,弘立書院小學部（屯門區）,Independent Schools Foundation Academy Primary (屯門區),小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01031,澳洲國際沙田區小學（沙田區分校）,Australian International School Primary (沙田區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01032,新加坡國際西貢區小學（西貢區）,Singapore International School Primary (西貢區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01033,哈羅香港國際小學（第3校）,Harrow International School Hong Kong Primary (東區),小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01034,英基小學（第4校）,ESF Primary School (西貢區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01035,新加坡國際油尖旺區小學（油尖旺區）,Singapore International School Primary (油尖旺區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01036,新加坡國際南區小學（南區）,Singapore International School Primary (南區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01037,加拿大國際小學（第2校）,Canadian International School Primary (南區),小學,國際學校,私立,CANADIAN,HIGH,dataset curriculum=Canadian
sch_01038,美國國際北區小學（北區）,American School Hong Kong Primary (北區),小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01039,澳洲國際小學（第4校）,Australian International School Primary (南區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01040,法國國際灣仔區小學（灣仔區分校）,French International School Primary (灣仔區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01041,耀中國際灣仔區小學（灣仔區分校）,Yew Chung International Primary School (灣仔區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01042,弘立書院西貢區小學部（西貢區分校）,Independent Schools Foundation Academy Primary (西貢區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01043,法國國際西貢區小學（第3校）,French International School Primary (西貢區),小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01044,香港國際學校小學部（北區）,Hong Kong International School Primary (離島區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01045,德瑞國際小學（第5校）,German Swiss International School Primary (西貢區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01046,澳洲國際小學（第1校）,Australian International School Primary (沙田區),小學,國際學校,私立,CANADIAN,HIGH,dataset curriculum=Canadian
sch_01047,澳洲國際北區小學（北區分校）,Australian International School Primary (北區),小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01048,美國國際北區小學（西區）,American School Hong Kong Primary (北區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01049,香港國際學校離島區小學部（第4校）,Hong Kong International School Primary (離島區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01050,加拿大國際小學（油尖旺區分校）,Canadian International School Primary (油尖旺區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01051,聖保羅男女中學附屬小學,St. Paul's Co-educational College Primary School,小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01052,培僑小學,Pui Kiu Primary School,小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01053,拔萃女小學,Diocesan Girls' Junior School,小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01054,港大同學會中西區小學,HKUGA Primary School,小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01055,聖保羅男女中學附屬葵青區小學,St. Paul's Co-educational College Primary School,小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01056,培僑小學,Pui Kiu Primary School,小學,直資學校,直資,HK_LOCAL|IB,MED,dataset curriculum=dual-track (assumed HK_LOCAL+IB; please verify)
sch_01057,保良局陳守仁沙田區小學,PLK Camões Tan Siu Lin Primary School,小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01058,培僑觀塘區小學,Pui Kiu Primary School,小學,直資學校,直資,HK_LOCAL|IB,MED,dataset curriculum=dual-track (assumed HK_LOCAL+IB; please verify)
sch_01059,英華中西區小學,Ying Wa Primary School,小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01060,港大同學會小學,HKUGA Primary School,小學,直資學校,直資,HK_LOCAL|IB,MED,dataset curriculum=dual-track (assumed HK_LOCAL+IB; please verify)
sch_01061,保良局陳守仁屯門區小學（屯門區分校）,PLK Camões Tan Siu Lin Primary School (屯門區),小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01062,拔萃女小學（第2校）,Diocesan Girls' Junior School (大埔區),小學,直資學校,直資,HK_LOCAL|IB,MED,dataset curriculum=dual-track (assumed HK_LOCAL+IB; please verify)
sch_01063,英華小學（元朗區）,Ying Wa Primary School (元朗區),小學,直資學校,直資,HK_LOCAL|IB,MED,dataset curriculum=dual-track (assumed HK_LOCAL+IB; please verify)
sch_01064,聖保羅書院小學（南區）,St. Paul's College Primary School (元朗區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01065,拔萃男書院附屬小學（第5校）,Diocesan Boys' School Primary Division (灣仔區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01066,聖保羅男女荃灣區中學附屬小學（北區）,St. Paul's Co-educational College Primary School (荃灣區),小學,直資學校,直資,HK_LOCAL|IB,MED,dataset curriculum=dual-track (assumed HK_LOCAL+IB; please verify)
sch_01067,拔萃男書院附屬小學（南區）,Diocesan Boys' School Primary Division (屯門區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01068,培僑油尖旺區小學（油尖旺區分校）,Pui Kiu Primary School (油尖旺區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01069,聖保羅書院中西區小學（中西區）,St. Paul's College Primary School (中西區),小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01070,福建元朗區中學附屬學校（元朗區分校）,Fukien Secondary School Affiliated School (元朗區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01071,拔萃女小學（第1校）,Diocesan Girls' Junior School (北區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01072,聖保羅男女油尖旺區中學附屬小學（第2校）,St. Paul's Co-educational College Primary School (油尖旺區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01073,保良局陳守仁油尖旺區小學（油尖旺區）,PLK Camões Tan Siu Lin Primary School (油尖旺區),小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01074,港大同學會觀塘區小學（第4校）,HKUGA Primary School (觀塘區),小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01075,保良局陳守仁小學（第5校）,PLK Camões Tan Siu Lin Primary School (中西區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01076,培僑小學（第1校）,Pui Kiu Primary School (深水埗區),小學,直資學校,直資,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01077,港大同學會小學（觀塘區分校）,HKUGA Primary School (觀塘區),小學,直資學校,直資,HK_LOCAL|IB,MED,dataset curriculum=dual-track (assumed HK_LOCAL+IB; please verify)
sch_01078,聖保羅書院小學（西區）,St. Paul's College Primary School (大埔區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01079,英華九龍城區小學（九龍城區）,Ying Wa Primary School (九龍城區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01080,聖保羅書院離島區小學（離島區）,St. Paul's College Primary School (離島區),小學,直資學校,直資,IB,HIGH,dataset curriculum=IB
sch_01081,德望灣仔區小學暨幼稚園,Good Hope Primary School cum Kindergarten,小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01082,高主教書院大埔區小學部,Raimondi College Primary Section,小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01083,聖士提反書院附屬屯門區小學,St. Stephen's College Preparatory School,小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01084,九龍塘學校（北區小學部）,Kowloon Tong School (Primary Section),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01085,玫瑰崗學校（小學部）,Rosaryhill School (Primary Section),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01086,聖方濟各英文東區小學,St. Francis of Assisi's English Primary School,小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01087,高主教書院中西區小學部,Raimondi College Primary Section,小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01088,香港培道小學,Pooi To Primary School,小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01089,德望小學暨幼稚園（東區）,Good Hope Primary School cum Kindergarten (黃大仙區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01090,九龍塘學校（觀塘區小學部）（東區）,Kowloon Tong School (Primary Section) (觀塘區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01091,聖士提反書院附屬小學（南區）,St. Stephen's College Preparatory School (九龍城區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01092,香港培道小學（沙田區）,Pooi To Primary School (沙田區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01093,玫瑰崗學校（小學部）（荃灣區分校）,Rosaryhill School (Primary Section) (荃灣區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01094,九龍塘學校（小學部）（第4校）,Kowloon Tong School (Primary Section) (南區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01095,九龍塘學校（小學部）（離島區分校）,Kowloon Tong School (Primary Section) (離島區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01096,聖方濟各英文黃大仙區小學（北區）,St. Francis of Assisi's English Primary School (黃大仙區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01097,聖士提反書院附屬小學（中西區）,St. Stephen's College Preparatory School (中西區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01098,聖方濟各英文南區小學（第3校）,St. Francis of Assisi's English Primary School (南區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01099,高主教書院小學部（南區分校）,Raimondi College Primary Section (南區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01100,聖士提反書院附屬西貢區小學（第5校）,St. Stephen's College Preparatory School (西貢區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01101,聖方濟各英文小學（西區）,St. Francis of Assisi's English Primary School (深水埗區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01102,德望小學暨幼稚園（九龍城區）,Good Hope Primary School cum Kindergarten (九龍城區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01103,九龍塘學校（觀塘區小學部）（觀塘區分校）,Kowloon Tong School (Primary Section) (觀塘區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01104,香港培道深水埗區小學（南區）,Pooi To Primary School (深水埗區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01105,高主教書院小學部（西區）,Raimondi College Primary Section (北區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01106,德望小學暨黃大仙區幼稚園（西區）,Good Hope Primary School cum Kindergarten (黃大仙區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01107,玫瑰崗學校（東區小學部）（北區）,Rosaryhill School (Primary Section) (東區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01108,德望小學暨大埔區幼稚園（大埔區分校）,Good Hope Primary School cum Kindergarten (大埔區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01109,玫瑰崗學校（小學部）（東區）,Rosaryhill School (Primary Section) (九龍城區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01110,玫瑰崗學校（南區小學部）（第5校）,Rosaryhill School (Primary Section) (南區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01111,德望小學暨東區幼稚園（東區分校）,Good Hope Primary School cum Kindergarten (東區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01112,香港培道小學（西貢區）,Pooi To Primary School (西貢區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01113,玫瑰崗學校（東區小學部）（第3校）,Rosaryhill School (Primary Section) (東區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01114,聖士提反書院附屬大埔區小學（大埔區）,St. Stephen's College Preparatory School (大埔區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01115,高主教書院南區小學部（南區分校）,Raimondi College Primary Section (南區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01116,玫瑰崗學校（油尖旺區小學部）（油尖旺區）,Rosaryhill School (Primary Section) (油尖旺區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01117,高主教書院小學部（離島區）,Raimondi College Primary Section (離島區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01118,聖士提反書院附屬觀塘區小學（第3校）,St. Stephen's College Preparatory School (觀塘區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01119,高主教書院小學部（西區）,Raimondi College Primary Section (元朗區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01120,九龍塘學校（觀塘區小學部）（觀塘區分校）,Kowloon Tong School (Primary Section) (觀塘區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01121,玫瑰崗學校（小學部）（第1校）,Rosaryhill School (Primary Section) (沙田區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01122,聖方濟各英文小學（西區）,St. Francis of Assisi's English Primary School (黃大仙區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01123,高主教書院小學部（南區分校）,Raimondi College Primary Section (南區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01124,高主教書院小學部（第4校）,Raimondi College Primary Section (東區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01125,德望葵青區小學暨葵青區幼稚園（東區）,Good Hope Primary School cum Kindergarten (葵青區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01126,香港培道深水埗區小學（北區）,Pooi To Primary School (深水埗區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01127,聖士提反書院附屬南區小學（第2校）,St. Stephen's College Preparatory School (南區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01128,玫瑰崗學校（灣仔區小學部）（灣仔區）,Rosaryhill School (Primary Section) (灣仔區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01129,九龍塘學校（小學部）（北區）,Kowloon Tong School (Primary Section) (屯門區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01130,聖士提反書院附屬小學（西區）,St. Stephen's College Preparatory School (油尖旺區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01131,玫瑰崗學校（小學部）（第1校）,Rosaryhill School (Primary Section) (南區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01132,九龍塘學校（小學部）（沙田區分校）,Kowloon Tong School (Primary Section) (沙田區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01133,聖士提反書院附屬小學（離島區）,St. Stephen's College Preparatory School (離島區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01134,德望北區小學暨幼稚園（第4校）,Good Hope Primary School cum Kindergarten (北區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01135,香港培道小學（黃大仙區分校）,Pooi To Primary School (黃大仙區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01136,玫瑰崗學校（深水埗區小學部）（南區）,Rosaryhill School (Primary Section) (深水埗區),小學,私立學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01137,香港培道小學（北區）,Pooi To Primary School (灣仔區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01138,高主教書院油尖旺區小學部（西區）,Raimondi College Primary Section (油尖旺區),小學,私立學校,私立,IB,HIGH,dataset curriculum=IB
sch_01139,九龍塘學校（沙田區小學部）（南區）,Kowloon Tong School (Primary Section) (沙田區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01140,玫瑰崗學校（小學部）（深水埗區）,Rosaryhill School (Primary Section) (深水埗區),小學,私立學校,私立,HK_LOCAL,HIGH,dataset curriculum=DSE
sch_01141,仁濟醫院小學,Yan Chai Hospital Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01142,中華基督教會東區小學,C.C.C. Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01143,浸信會小學,Baptist Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01144,浸信會小學,Baptist Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01145,東華三院南區小學,Tung Wah Group of Hospitals Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01146,救世軍北區小學,Salvation Army Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01147,路德會南區小學,Lutheran Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01148,路德會小學,Lutheran Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01149,天主教小學,Catholic Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01150,中華基督教會深水埗區小學,C.C.C. Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01151,道教南區小學,Taoist Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01152,東華三院小學,Tung Wah Group of Hospitals Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01153,救世軍南區小學,Salvation Army Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01154,佛教灣仔區小學,Buddhist Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01155,路德會小學,Lutheran Primary School,小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01156,循道衛理小學（第1校）,Methodist Primary School (灣仔區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01157,聖公會九龍城區小學（九龍城區分校）,S.K.H. Primary School (九龍城區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01158,佛教小學（灣仔區）,Buddhist Primary School (灣仔區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01159,循道衛理中西區小學（中西區）,Methodist Primary School (中西區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01160,保良局小學（東區）,Po Leung Kuk Primary School (葵青區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01161,道教黃大仙區小學（黃大仙區）,Taoist Primary School (黃大仙區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01162,佛教九龍城區小學（東區）,Buddhist Primary School (九龍城區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01163,浸信會小學（灣仔區分校）,Baptist Primary School (灣仔區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01164,救世軍東區小學（東區）,Salvation Army Primary School (東區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01165,中華基督教會北區小學（第5校）,C.C.C. Primary School (北區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01166,聖公會荃灣區小學（荃灣區分校）,S.K.H. Primary School (荃灣區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01167,路德會小學（南區分校）,Lutheran Primary School (南區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01168,佛教小學（黃大仙區）,Buddhist Primary School (黃大仙區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01169,浸信會中西區小學（中西區分校）,Baptist Primary School (中西區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01170,保良局小學（第5校）,Po Leung Kuk Primary School (灣仔區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01171,浸信會油尖旺區小學（油尖旺區分校）,Baptist Primary School (油尖旺區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01172,浸信會觀塘區小學（第2校）,Baptist Primary School (觀塘區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01173,博愛醫院小學（第3校）,Pok Oi Hospital Primary School (油尖旺區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01174,循道衛理屯門區小學（屯門區）,Methodist Primary School (屯門區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01175,保良局小學（第5校）,Po Leung Kuk Primary School (西貢區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01176,保良局小學（第1校）,Po Leung Kuk Primary School (深水埗區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01177,仁濟醫院小學（東區）,Yan Chai Hospital Primary School (大埔區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01178,嗇色園東區小學（東區）,Sik Sik Yuen Primary School (東區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01179,天主教小學（觀塘區）,Catholic Primary School (觀塘區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01180,仁濟醫院東區小學（東區）,Yan Chai Hospital Primary School (東區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01181,浸信會小學（觀塘區分校）,Baptist Primary School (觀塘區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01182,循道衛理小學（大埔區）,Methodist Primary School (大埔區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01183,仁濟醫院東區小學（東區分校）,Yan Chai Hospital Primary School (東區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01184,東華三院觀塘區小學（東區）,Tung Wah Group of Hospitals Primary School (觀塘區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
sch_01185,中華基督教會油尖旺區小學（第5校）,C.C.C. Primary School (油尖旺區),小學,資助學校,資助,HK_LOCAL,HIGH,fundingType=資助 => HK_LOCAL
