schoolId,currentName,currentNameEn,matchStatus,matchedOfficialName,matchedOfficialId,matchScore,notes
sch_00018,耀中國際幼稚園（觀塘區分校）,Yew Chung International Kindergarten (觀塘區),AMBIGUOUS,耀中國際幼稚園(將軍澳) | 耀中國際幼稚園(將軍澳) | 耀中國際幼稚園(將軍澳) | 耀中國際幼稚園（窩打老道） | 耀中國際幼稚園（根德道） | 耀中國際幼稚園（根德道） | 耀中國際幼稚園（根德道）,,70,multiple fuzzy matches (zh): 7
sch_00019,德瑞國際幼稚園（南區）,German Swiss International Kindergarten (南區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00020,漢基國際幼稚園（東區分校）,Chinese International Kindergarten (東區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00021,美國國際黃大仙區幼稚園（黃大仙區）,American International Kindergarten (黃大仙區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00022,澳洲國際油尖旺區幼稚園（油尖旺區）,Australian International Kindergarten (油尖旺區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00023,澳洲國際沙田區幼稚園（北區）,Australian International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00024,香港國際大埔區幼稚園（第4校）,Hong Kong International Kindergarten (大埔區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00025,耀中國際幼稚園（觀塘區）,Yew Chung International Kindergarten (觀塘區),AMBIGUOUS,耀中國際幼稚園(將軍澳) | 耀中國際幼稚園(將軍澳) | 耀中國際幼稚園(將軍澳) | 耀中國際幼稚園（窩打老道） | 耀中國際幼稚園（根德道） | 耀中國際幼稚園（根德道） | 耀中國際幼稚園（根德道）,,70,multiple fuzzy matches (zh): 7
sch_00026,德瑞國際九龍城區幼稚園（第1校）,German Swiss International Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00027,香港國際九龍城區幼稚園（第2校）,Hong Kong International Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00028,澳洲國際幼稚園（第3校）,Australian International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00029,法國國際幼稚園（第4校）,French International Kindergarten (西貢區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00030,德瑞國際幼稚園（觀塘區分校）,German Swiss International Kindergarten (觀塘區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00031,加拿大國際深水埗區幼稚園（深水埗區）,Canadian International Kindergarten (深水埗區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00032,法國國際幼稚園（灣仔區）,French International Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00033,維多利亞國際南區幼稚園（南區）,Victoria International Kindergarten (南區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00034,德瑞國際幼稚園（第4校）,German Swiss International Kindergarten (中西區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00035,澳洲國際幼稚園（南區分校）,Australian International Kindergarten (南區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00036,漢基國際幼稚園（西區）,Chinese International Kindergarten (大埔區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00037,法國國際幼稚園（南區）,French International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00038,法國國際大埔區幼稚園（大埔區分校）,French International Kindergarten (大埔區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00039,耀中國際沙田區幼稚園（北區）,Yew Chung International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00040,新加坡國際幼稚園（中西區分校）,Singapore International Kindergarten (中西區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00041,澳洲國際幼稚園（東區分校）,Australian International Kindergarten (東區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00042,法國國際幼稚園（第2校）,French International Kindergarten (南區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00043,德瑞國際深水埗區幼稚園（深水埗區）,German Swiss International Kindergarten (深水埗區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00044,耀中國際九龍城區幼稚園（九龍城區）,Yew Chung International Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00045,美國國際離島區幼稚園（北區）,American International Kindergarten (離島區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00046,新加坡國際幼稚園（東區）,Singapore International Kindergarten (大埔區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00047,漢基國際幼稚園（中西區）,Chinese International Kindergarten (中西區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00048,新加坡國際荃灣區幼稚園（北區）,Singapore International Kindergarten (荃灣區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00049,耀中國際葵青區幼稚園（葵青區）,Yew Chung International Kindergarten (葵青區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00050,美國國際東區幼稚園（第5校）,American International Kindergarten (東區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00051,耀中國際幼稚園（九龍城區分校）,Yew Chung International Kindergarten (九龍城區),AMBIGUOUS,耀中國際幼稚園(將軍澳) | 耀中國際幼稚園(將軍澳) | 耀中國際幼稚園(將軍澳) | 耀中國際幼稚園（窩打老道） | 耀中國際幼稚園（根德道） | 耀中國際幼稚園（根德道） | 耀中國際幼稚園（根德道）,,70,multiple fuzzy matches (zh): 7
sch_00052,維多利亞國際沙田區幼稚園（沙田區分校）,Victoria International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00053,加拿大國際北區幼稚園（第3校）,Canadian International Kindergarten (北區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00054,澳洲國際幼稚園（北區）,Australian International Kindergarten (西貢區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00055,澳洲國際幼稚園（第5校）,Australian International Kindergarten (西貢區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00056,香港國際幼稚園（第1校）,Hong Kong International Kindergarten (屯門區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00057,維多利亞國際元朗區幼稚園（西區）,Victoria International Kindergarten (元朗區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00058,漢基國際中西區幼稚園（西區）,Chinese International Kindergarten (中西區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00059,漢基國際幼稚園（第4校）,Chinese International Kindergarten (黃大仙區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00060,美國國際幼稚園（第5校）,American International Kindergarten (東區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00061,美國國際幼稚園（南區）,American International Kindergarten (南區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00062,澳洲國際葵青區幼稚園（葵青區）,Australian International Kindergarten (葵青區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00063,漢基國際幼稚園（南區分校）,Chinese International Kindergarten (南區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00064,加拿大國際幼稚園（第4校）,Canadian International Kindergarten (東區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00065,美國國際幼稚園（第5校）,American International Kindergarten (大埔區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00066,法國國際觀塘區幼稚園（第1校）,French International Kindergarten (觀塘區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00067,新加坡國際深水埗區幼稚園（西區）,Singapore International Kindergarten (深水埗區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00068,澳洲國際黃大仙區幼稚園（黃大仙區）,Australian International Kindergarten (黃大仙區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00069,香港國際沙田區幼稚園（沙田區分校）,Hong Kong International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00070,德瑞國際幼稚園（九龍城區）,German Swiss International Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00071,維多利亞國際幼稚園（東區）,Victoria International Kindergarten (西貢區),AMBIGUOUS,維多利亞(何文田)國際幼稚園 | 維多利亞(何文田)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園,,70,multiple fuzzy matches (zh): 7
sch_00072,加拿大國際深水埗區幼稚園（第2校）,Canadian International Kindergarten (深水埗區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00073,維多利亞國際幼稚園（北區）,Victoria International Kindergarten (灣仔區),AMBIGUOUS,維多利亞(何文田)國際幼稚園 | 維多利亞(何文田)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園,,70,multiple fuzzy matches (zh): 7
sch_00074,維多利亞國際深水埗區幼稚園（深水埗區分校）,Victoria International Kindergarten (深水埗區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00075,法國國際幼稚園（中西區分校）,French International Kindergarten (中西區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00076,澳洲國際中西區幼稚園（中西區）,Australian International Kindergarten (中西區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00077,澳洲國際屯門區幼稚園（屯門區分校）,Australian International Kindergarten (屯門區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00078,法國國際深水埗區幼稚園（深水埗區分校）,French International Kindergarten (深水埗區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00079,加拿大國際幼稚園（離島區）,Canadian International Kindergarten (離島區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00080,澳洲國際幼稚園（黃大仙區分校）,Australian International Kindergarten (黃大仙區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00081,保良局幼稚園,Po Leung Kuk Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00082,博愛醫院荃灣區幼稚園,Pok Oi Hospital Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00083,保良局幼稚園,Po Leung Kuk Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00084,東華三院深水埗區幼稚園,Tung Wah Group of Hospitals Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00085,仁濟醫院葵青區幼稚園,Yan Chai Hospital Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00086,博愛醫院幼稚園（灣仔區分校）,Pok Oi Hospital Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00087,東華三院觀塘區幼稚園（觀塘區）,Tung Wah Group of Hospitals Kindergarten (觀塘區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00088,東華三院幼稚園（灣仔區分校）,Tung Wah Group of Hospitals Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00089,保良局油尖旺區幼稚園（油尖旺區）,Po Leung Kuk Kindergarten (油尖旺區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00090,仁濟醫院幼稚園（第5校）,Yan Chai Hospital Kindergarten (屯門區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00091,保良局幼稚園（西貢區分校）,Po Leung Kuk Kindergarten (西貢區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00092,博愛醫院東區幼稚園（南區）,Pok Oi Hospital Kindergarten (東區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00093,博愛醫院幼稚園（中西區分校）,Pok Oi Hospital Kindergarten (中西區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00094,保良局葵青區幼稚園（葵青區分校）,Po Leung Kuk Kindergarten (葵青區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00095,博愛醫院幼稚園（黃大仙區）,Pok Oi Hospital Kindergarten (黃大仙區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00096,東華三院幼稚園（北區）,Tung Wah Group of Hospitals Kindergarten (北區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00097,保良局幼稚園（南區）,Po Leung Kuk Kindergarten (荃灣區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00098,仁濟醫院東區幼稚園（東區分校）,Yan Chai Hospital Kindergarten (東區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00099,博愛醫院深水埗區幼稚園（東區）,Pok Oi Hospital Kindergarten (深水埗區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00100,博愛醫院西貢區幼稚園（西區）,Pok Oi Hospital Kindergarten (西貢區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00101,學之園九龍城區幼稚園,Learning Habitat Kindergarten,AMBIGUOUS,學之園幼稚園 | 學之園幼稚園,,85,multiple matches (en): 2
sch_00102,銅鑼灣維多利亞幼稚園,Causeway Bay Victoria Kindergarten,AMBIGUOUS,銅鑼灣維多利亞幼稚園 | 銅鑼灣維多利亞幼稚園 | 銅鑼灣維多利亞幼稚園,,90,multiple matches (zh): 3
sch_00103,聖保羅堂幼稚園,St. Paul's Church Kindergarten,AMBIGUOUS,聖保羅堂幼稚園 | 聖保羅堂幼稚園,,90,multiple matches (zh): 2
sch_00104,寶血東區幼稚園,Precious Blood Kindergarten,AMBIGUOUS,寶血幼稚園 | 寶血幼稚園,,85,multiple matches (en): 2
sch_00105,寶血黃大仙區幼稚園,Precious Blood Kindergarten,AMBIGUOUS,寶血幼稚園 | 寶血幼稚園,,85,multiple matches (en): 2
sch_00106,學之園幼稚園,Learning Habitat Kindergarten,AMBIGUOUS,學之園幼稚園 | 學之園幼稚園,,90,multiple matches (zh): 2
sch_00107,寶血幼稚園,Precious Blood Kindergarten,AMBIGUOUS,寶血幼稚園 | 寶血幼稚園,,90,multiple matches (zh): 2
sch_00108,約克國際中西區幼稚園,York International Kindergarten,AMBIGUOUS,約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園,,85,multiple matches (en): 4
sch_00109,約克國際黃大仙區幼稚園,York International Kindergarten,AMBIGUOUS,約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園,,85,multiple matches (en): 4
sch_00110,維多利亞大埔區幼稚園（大埔區）,Victoria Kindergarten (大埔區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00111,維多利亞九龍城區幼稚園（第1校）,Victoria Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00112,聖保羅堂灣仔區幼稚園（灣仔區分校）,St. Paul's Church Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00113,根德園灣仔區幼稚園（灣仔區分校）,Kentville Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00114,學之園幼稚園（北區）,Learning Habitat Kindergarten (荃灣區),AMBIGUOUS,學之園幼稚園(海翩康城) | 學之園幼稚園(海翩康城) | 學之園幼稚園（昇御海逸） | 學之園幼稚園（迎海） | 學之園幼稚園（迎海） | 學之園幼稚園（昇御海逸） | 學之園幼稚園(星匯居) | 學之園幼稚園(星匯居) | 學之園幼稚園(君豪峰) | 學之園幼稚園(君豪峰) | 學之園幼稚園 | 學之園幼稚園（凱帆薈） | 學之園幼稚園（凱帆薈） | 學之園幼稚園 | 學之園幼稚園(凱帆薈) | 學之園幼稚園(奧運) | 學之園幼稚園(奧運),,70,multiple fuzzy matches (zh): 17
sch_00115,國際英文東區幼稚園（東區）,St. Catherine's International Kindergarten (東區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00116,寶血九龍城區幼稚園（九龍城區分校）,Precious Blood Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00117,學之園沙田區幼稚園（第2校）,Learning Habitat Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00118,國際英文幼稚園（深水埗區分校）,St. Catherine's International Kindergarten (深水埗區),AMBIGUOUS,國際英文幼稚園 | 國際英文幼稚園 | 國際英文幼稚園 | 國際英文幼稚園,,70,multiple fuzzy matches (zh): 4
sch_00119,學之園幼稚園（西貢區分校）,Learning Habitat Kindergarten (西貢區),AMBIGUOUS,學之園幼稚園(海翩康城) | 學之園幼稚園(海翩康城) | 學之園幼稚園（昇御海逸） | 學之園幼稚園（迎海） | 學之園幼稚園（迎海） | 學之園幼稚園（昇御海逸） | 學之園幼稚園(星匯居) | 學之園幼稚園(星匯居) | 學之園幼稚園(君豪峰) | 學之園幼稚園(君豪峰) | 學之園幼稚園 | 學之園幼稚園（凱帆薈） | 學之園幼稚園（凱帆薈） | 學之園幼稚園 | 學之園幼稚園(凱帆薈) | 學之園幼稚園(奧運) | 學之園幼稚園(奧運),,70,multiple fuzzy matches (zh): 17
sch_00120,維多利亞南區幼稚園（第5校）,Victoria Kindergarten (南區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00121,學之園幼稚園（九龍城區分校）,Learning Habitat Kindergarten (九龍城區),AMBIGUOUS,學之園幼稚園(海翩康城) | 學之園幼稚園(海翩康城) | 學之園幼稚園（昇御海逸） | 學之園幼稚園（迎海） | 學之園幼稚園（迎海） | 學之園幼稚園（昇御海逸） | 學之園幼稚園(星匯居) | 學之園幼稚園(星匯居) | 學之園幼稚園(君豪峰) | 學之園幼稚園(君豪峰) | 學之園幼稚園 | 學之園幼稚園（凱帆薈） | 學之園幼稚園（凱帆薈） | 學之園幼稚園 | 學之園幼稚園(凱帆薈) | 學之園幼稚園(奧運) | 學之園幼稚園(奧運),,70,multiple fuzzy matches (zh): 17
sch_00122,寶血元朗區幼稚園（南區）,Precious Blood Kindergarten (元朗區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00123,銅鑼灣維多利亞幼稚園（中西區）,Causeway Bay Victoria Kindergarten (中西區),AMBIGUOUS,銅鑼灣維多利亞幼稚園 | 銅鑼灣維多利亞幼稚園 | 銅鑼灣維多利亞幼稚園,,70,multiple fuzzy matches (zh): 3
sch_00124,維多利亞黃大仙區幼稚園（西區）,Victoria Kindergarten (黃大仙區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00125,銅鑼灣維多利亞北區幼稚園（北區）,Causeway Bay Victoria Kindergarten (北區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00126,聖保羅堂幼稚園（第1校）,St. Paul's Church Kindergarten (西貢區),AMBIGUOUS,聖保羅堂幼稚園 | 聖保羅堂幼稚園,,70,multiple fuzzy matches (zh): 2
sch_00127,寶血油尖旺區幼稚園（油尖旺區）,Precious Blood Kindergarten (油尖旺區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00128,根德園幼稚園（南區）,Kentville Kindergarten (灣仔區),AMBIGUOUS,根德園幼稚園 | 根德園幼稚園 | 根德園幼稚園 | 根德園幼稚園,,70,multiple fuzzy matches (zh): 4
sch_00129,聖保羅堂幼稚園（沙田區）,St. Paul's Church Kindergarten (沙田區),AMBIGUOUS,聖保羅堂幼稚園 | 聖保羅堂幼稚園,,70,multiple fuzzy matches (zh): 2
sch_00130,約克國際西貢區幼稚園（南區）,York International Kindergarten (西貢區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00131,寶血荃灣區幼稚園（北區）,Precious Blood Kindergarten (荃灣區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00132,聖保羅堂九龍城區幼稚園（九龍城區）,St. Paul's Church Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00133,銅鑼灣維多利亞黃大仙區幼稚園（東區）,Causeway Bay Victoria Kindergarten (黃大仙區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00134,維多利亞灣仔區幼稚園（灣仔區）,Victoria Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00135,聖保羅堂幼稚園（荃灣區分校）,St. Paul's Church Kindergarten (荃灣區),AMBIGUOUS,聖保羅堂幼稚園 | 聖保羅堂幼稚園,,70,multiple fuzzy matches (zh): 2
sch_00136,約克國際幼稚園（離島區）,York International Kindergarten (離島區),AMBIGUOUS,約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園,,70,multiple fuzzy matches (zh): 4
sch_00137,約克國際幼稚園（油尖旺區）,York International Kindergarten (油尖旺區),AMBIGUOUS,約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園 | 約克國際幼稚園,,70,multiple fuzzy matches (zh): 4
sch_00138,寶血幼稚園（第3校）,Precious Blood Kindergarten (東區),AMBIGUOUS,寶血幼稚園 | 寶血幼稚園 | 寶血幼稚園（深水埗）,,70,multiple fuzzy matches (zh): 3
sch_00139,聖保羅堂灣仔區幼稚園（灣仔區分校）,St. Paul's Church Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00140,學之園幼稚園（北區）,Learning Habitat Kindergarten (油尖旺區),AMBIGUOUS,學之園幼稚園(海翩康城) | 學之園幼稚園(海翩康城) | 學之園幼稚園（昇御海逸） | 學之園幼稚園（迎海） | 學之園幼稚園（迎海） | 學之園幼稚園（昇御海逸） | 學之園幼稚園(星匯居) | 學之園幼稚園(星匯居) | 學之園幼稚園(君豪峰) | 學之園幼稚園(君豪峰) | 學之園幼稚園 | 學之園幼稚園（凱帆薈） | 學之園幼稚園（凱帆薈） | 學之園幼稚園 | 學之園幼稚園(凱帆薈) | 學之園幼稚園(奧運) | 學之園幼稚園(奧運),,70,multiple fuzzy matches (zh): 17
sch_00141,學之園幼稚園（灣仔區分校）,Learning Habitat Kindergarten (灣仔區),AMBIGUOUS,學之園幼稚園(海翩康城) | 學之園幼稚園(海翩康城) | 學之園幼稚園（昇御海逸） | 學之園幼稚園（迎海） | 學之園幼稚園（迎海） | 學之園幼稚園（昇御海逸） | 學之園幼稚園(星匯居) | 學之園幼稚園(星匯居) | 學之園幼稚園(君豪峰) | 學之園幼稚園(君豪峰) | 學之園幼稚園 | 學之園幼稚園（凱帆薈） | 學之園幼稚園（凱帆薈） | 學之園幼稚園 | 學之園幼稚園(凱帆薈) | 學之園幼稚園(奧運) | 學之園幼稚園(奧運),,70,multiple fuzzy matches (zh): 17
sch_00142,寶血灣仔區幼稚園（東區）,Precious Blood Kindergarten (灣仔區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00143,根德園幼稚園（葵青區分校）,Kentville Kindergarten (葵青區),AMBIGUOUS,根德園幼稚園 | 根德園幼稚園 | 根德園幼稚園 | 根德園幼稚園,,70,multiple fuzzy matches (zh): 4
sch_00144,學之園幼稚園（第4校）,Learning Habitat Kindergarten (灣仔區),AMBIGUOUS,學之園幼稚園(海翩康城) | 學之園幼稚園(海翩康城) | 學之園幼稚園（昇御海逸） | 學之園幼稚園（迎海） | 學之園幼稚園（迎海） | 學之園幼稚園（昇御海逸） | 學之園幼稚園(星匯居) | 學之園幼稚園(星匯居) | 學之園幼稚園(君豪峰) | 學之園幼稚園(君豪峰) | 學之園幼稚園 | 學之園幼稚園（凱帆薈） | 學之園幼稚園（凱帆薈） | 學之園幼稚園 | 學之園幼稚園(凱帆薈) | 學之園幼稚園(奧運) | 學之園幼稚園(奧運),,70,multiple fuzzy matches (zh): 17
sch_00145,銅鑼灣維多利亞東區幼稚園（南區）,Causeway Bay Victoria Kindergarten (東區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00146,根德園荃灣區幼稚園（荃灣區分校）,Kentville Kindergarten (荃灣區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00147,約克國際荃灣區幼稚園（荃灣區分校）,York International Kindergarten (荃灣區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00148,學之園幼稚園（第3校）,Learning Habitat Kindergarten (大埔區),AMBIGUOUS,學之園幼稚園(海翩康城) | 學之園幼稚園(海翩康城) | 學之園幼稚園（昇御海逸） | 學之園幼稚園（迎海） | 學之園幼稚園（迎海） | 學之園幼稚園（昇御海逸） | 學之園幼稚園(星匯居) | 學之園幼稚園(星匯居) | 學之園幼稚園(君豪峰) | 學之園幼稚園(君豪峰) | 學之園幼稚園 | 學之園幼稚園（凱帆薈） | 學之園幼稚園（凱帆薈） | 學之園幼稚園 | 學之園幼稚園(凱帆薈) | 學之園幼稚園(奧運) | 學之園幼稚園(奧運),,70,multiple fuzzy matches (zh): 17
sch_00149,國際英文幼稚園（第4校）,St. Catherine's International Kindergarten (屯門區),AMBIGUOUS,國際英文幼稚園 | 國際英文幼稚園 | 國際英文幼稚園 | 國際英文幼稚園,,70,multiple fuzzy matches (zh): 4
sch_00150,聖保羅堂九龍城區幼稚園（九龍城區）,St. Paul's Church Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00151,寶血幼稚園（離島區）,Precious Blood Kindergarten (離島區),AMBIGUOUS,寶血幼稚園 | 寶血幼稚園 | 寶血幼稚園（深水埗）,,70,multiple fuzzy matches (zh): 3
