SCHOOL NO.,ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,WEBSITE,網頁,RELIGION,宗教
514519000223,Aided Primary Schools,資助小學,HONG KONG TAOIST ASSOCIATION WUN TSUEN SCHOOL,香港道教聯合會雲泉學校,"2 ON YAN STREET, KWUN TONG, KOWLOON",九龍觀塘安茵街2號,114.22972723,114.22972723,22.32767554,22.32767554,841713.07823542,841713.07823542,820961.3672019,820961.3672019,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,"27570854,27574884","27570854,27574884",23313420,23313420,http://www.hktawts.edu.hk,http://www.hktawts.edu.hk,TAOISM,道教
511161000123,Aided Primary Schools,資助小學,BAPTIST HUNG HIN SHIU RAINBOW PRIMARY SCHOOL,浸信會孔憲紹天虹小學,CHUK YUEN SOUTH ESTATE WONG TAI SIN KOWLOON,九龍黃大仙竹園南邨,114.1897468,114.1897468,22.34468491,22.34468491,837594.0,837594.0,822844.0,822844.0,CO-ED,男女,WHOLE DAY,全日,WONG TAI SIN,黃大仙區,AIDED,資助,PRIMARY,小學,23287971,23287971,23227419,23227419,http://www.rainbow.edu.hk,http://www.rainbow.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
511129000123,Aided Primary Schools,資助小學,"ALLIANCE PRIMARY SCHOOL, TAI HANG TUNG",大坑東宣道小學,13 & 23 TONG YAM STREET TAI HANG TUNG KOWLOON,九龍大坑東棠蔭街十三及廿三號,114.17014271,114.17014271,22.33111685,22.33111685,835574.5,835574.5,821341.5,821341.5,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水埗區,AIDED,資助,PRIMARY,小學,27778949,27778949,27761585,27761585,http://www.apstht.edu.hk,http://www.apstht.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115320000123,Aided Primary Schools,資助小學,CUHK FEDERATION OF ALUMNI ASSOCIATION THOMAS CHEUNG SCHOOL,香港中文大學校友會聯會張煊昌學校,KA TIN COURT HIN KENG ESTATE SHATIN NEW TERRITORIES,新界沙田顯徑邨嘉田苑,114.17247627,114.17247627,22.36078685,22.36078685,835815.0,835815.0,824627.0,824627.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26931898,26931898,26936538,26936538,http://www.tcps.edu.hk,http://www.tcps.edu.hk,NOT APPLICABLE,不適用
114499000123,Aided Primary Schools,資助小學,T.W.G.HS KO HO NING MEMORIAL PRIMARY SCHOOL,東華三院高可寧紀念小學,LAI YIU ESTATE KWAI CHUNG NEW TERRITORIES,新界葵涌麗瑤邨,114.12975995,114.12975995,22.35318538,22.35318538,831415.0,831415.0,823786.0,823786.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,27450511,27450511,27863085,27863085,http://www.twghkhnmp.edu.hk,http://www.twghkhnmp.edu.hk,NOT APPLICABLE,不適用
518425000123,Aided Primary Schools,資助小學,S.K.H. LEE SHIU KEUNG PRIMARY SCHOOL,聖公會李兆強小學,SCHOOL NO. 1 ON TIN STREET PING TIN ESTATE LAM TIN KWUN TONG KOWLOON,九龍觀塘藍田平田邨安田街第一校舍,114.2371139,114.2371139,22.30683607,22.30683607,842475.0,842475.0,818654.0,818654.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,23465430,23465430,27273203,27273203,http://www.skhlsk.edu.hk,http://www.skhlsk.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
113247000123,Aided Primary Schools,資助小學,ASBURY METHODIST PRIMARY SCHOOL,亞斯理衛理小學,ESTATE SCHOOL NO. 2 LAI KING ESTATE KWAI CHUNG NEW TERRITORIES,新界葵涌茘景邨第二校舍,114.12702484,114.12702484,22.3457795,22.3457795,831133.0,831133.0,822966.0,822966.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,27429444,27429444,23700675,23700675,http://www.asbury.edu.hk,http://www.asbury.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
513474000123,Aided Primary Schools,資助小學,S.K.H. KEI LOK PRIMARY SCHOOL,聖公會基樂小學,ESTATE PRIMARY SCHOOL LOK WAH ESTATE PHASE I NGAU TAU KOK KOWLOON,九龍牛頭角樂華邨第一期,114.21996913,114.21996913,22.32028809,22.32028809,840708.0,840708.0,820143.0,820143.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,27555611,27555611,27508790,27508790,http://www.skhklps.edu.hk,http://www.skhklps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
512176000123,Aided Primary Schools,資助小學,HOP YAT CHURCH SCHOOL,合一堂學校,7 PRINCESS MARGARET ROAD HOMANTIN KOWLOON,九龍公主道七號,114.1793591,114.1793591,22.32051055,22.32051055,836524.0,836524.0,820167.0,820167.0,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,27111013,27111013,27142465,27142465,http://www.hycs.edu.hk,http://www.hycs.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
560642000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA KEI WA PRIMARY SCHOOL (KOWLOON TONG),中華基督教會基華小學(九龍塘),1B OXFORD ROAD KOWLOON TONG KOWLOON,九龍九龍塘牛津道1號B,114.18043671,114.18043671,22.32965851,22.32965851,836635.0,836635.0,821180.0,821180.0,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,22676676,22676676,23360665,23360665,http://www.kwpskt.edu.hk,http://www.kwpskt.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
543233000223,Aided Primary Schools,資助小學,CHRISTIAN PUI YAN PRIMARY SCHOOL,基督教培恩小學,2 TIN YIP ROAD TIN SHUI WAI YUEN LONG NEW TERRITORIES,新界元朗天水圍天業路2號,114.00507472,114.00507472,22.46513309,22.46513309,818586.0,818586.0,836192.0,836192.0,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,23420555,23420555,34014724,34014724,https://www.cpyps.edu.hk,https://www.cpyps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
113417000223,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA CHUEN YUEN FIRST PRIMARY SCHOOL,中華基督教會全完第一小學,"36 WING SHUN STREET, TSUEN WAN, NEW TERRITORIES",新界荃灣永順街36號,114.11502938,114.11502938,22.36323017,22.36323017,829898.139065,829898.139065,824898.86077027,824898.86077027,CO-ED,男女,WHOLE DAY,全日,TSUEN WAN,荃灣區,AIDED,資助,PRIMARY,小學,24900336,24900336,24158627,24158627,http://www.cyf.edu.hk,http://www.cyf.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115568000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA MONG WONG FAR YOK MEMORIAL PRIMARY SCHOOL,中華基督教會蒙黃花沃紀念小學,TIN KING ESTATE AREA 1 TUEN MUN NEW TERRITORIES,新界屯門一區田景邨,113.96627025,113.96627025,22.40624488,22.40624488,814583.0,814583.0,829676.0,829676.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24563678,24563678,24542863,24542863,http://www.cccmwfys.edu.hk,http://www.cccmwfys.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
114634000223,Aided Primary Schools,資助小學,PO LEUNG KUK SIU HON-SUM PRIMARY SCHOOL,保良局蕭漢森小學,"3 AU PUI WAN STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭坳背灣街3號,114.19490788,114.19490788,22.39334096,22.39334096,838125.0,838125.0,828232.0,828232.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26041966,26041966,26062304,26062304,https://www.plkshs.edu.hk,https://www.plkshs.edu.hk,NOT APPLICABLE,不適用
115509000123,Aided Primary Schools,資助小學,SHA TIN METHODIST PRIMARY SCHOOL,沙田循道衛理小學,"KWONG YUEN ESTATE, SHATIN, NEW TERRITORIES",新界沙田廣源邨,114.21463726,114.21463726,22.38018009,22.38018009,840157.0,840157.0,826775.0,826775.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26366533,26366533,26494329,26494329,http://www.smps.edu.hk,http://www.smps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
536547000223,Aided Primary Schools,資助小學,TUNG CHUNG CATHOLIC SCHOOL,東涌天主教學校,8 YAT TUNG STREET YAT TUNG (2) ESTATE TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌逸東街8號逸東(二)邨,113.93545348,113.93545348,22.28267348,22.28267348,811388.0,811388.0,815997.0,815997.0,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,AIDED,資助,PRIMARY,小學,21094962,21094962,21210166,21210166,http://www.tccs.edu.hk,http://www.tccs.edu.hk,CATHOLICISM,天主教
113000000123,Aided Primary Schools,資助小學,TUNG KOON SCHOOL,東莞學校,"JOCKEY CLUB ROAD, SHEUNG SHUI, NEW TERRITORIES",新界上水馬會道,114.1310215,114.1310215,22.50282065,22.50282065,831550.0,831550.0,840356.0,840356.0,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26700334,26700334,26684311,26684311,http://www.tks.edu.hk,http://www.tks.edu.hk,NOT APPLICABLE,不適用
512176000223,Aided Primary Schools,資助小學,HOP YAT CHURCH SCHOOL,合一堂學校,6 PERTH STREET HOMANTIN KOWLOON,九龍何文田巴富街6號,114.17944646,114.17944646,22.32079952,22.32079952,836533.0,836533.0,820199.0,820199.0,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,27111013,27111013,27142465,27142465,http://www.hycs.edu.hk,http://www.hycs.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
623709000123,Aided Primary Schools,資助小學,THE PENTECOSTAL HOLINESS CHURCH WING KWONG JUNIOR SCHOOL,五旬節聖潔會永光小學,"10 CHOI TIP STREET, TAI PO, NEW TERRITORIES",新界大埔彩蝶街10號,114.17559509,114.17559509,22.46266446,22.46266446,836136.3290492,836136.3290492,835908.50637909,835908.50637909,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26275600,26275600,37403290,37403290,https://wkjs.edu.hk,https://wkjs.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
513687000122,Aided Primary Schools,資助小學,SACRED HEART CANOSSIAN SCHOOL,嘉諾撒聖心學校,26 CAINE ROAD HONG KONG,香港堅道26號,114.15347843,114.15347843,22.28016502,22.28016502,833856.8602397,833856.8602397,815699.54498321,815699.54498321,GIRLS,女,P.M.,下午,CENTRAL AND WESTERN,中西區,AIDED,資助,PRIMARY,小學,25248679,25248679,28698154,28698154,http://www.shcs.edu.hk,http://www.shcs.edu.hk,CATHOLICISM,天主教
513130000223,Aided Primary Schools,資助小學,CHEUNG SHA WAN CATHOLIC PRIMARY SCHOOL,長沙灣天主教小學,"7 TONKIN STREET, CHEUNG SHA WAN, KOWLOON",九龍長沙灣東京街7號,114.15586943,114.15586943,22.33397923,22.33397923,834104.1,834104.1,821658.6,821658.6,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水埗區,AIDED,資助,PRIMARY,小學,27761423,27761423,27766201,27766201,https://www.cswcps.edu.hk,https://www.cswcps.edu.hk,CATHOLICISM,天主教
114871000123,Aided Primary Schools,資助小學,THE SALVATION ARMY TIN KA PING SCHOOL,救世軍田家炳學校,"POK HONG ESTATE, SHATIN, NEW TERRITORIES",新界沙田博康邨,114.1924101,114.1924101,22.37517181,22.37517181,837868.0,837868.0,826220.0,826220.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26489283,26489283,26494305,26494305,http://satkp.edu.hk,http://satkp.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
150436000123,Aided Primary Schools,資助小學,MENG TAK CATHOLIC SCHOOL,天主教明德學校,11 CHEUNG MAN ROAD CHAI WAN HONG KONG,香港柴灣祥民道11號,114.23618537,114.23618537,22.26834788,22.26834788,842381.0,842381.0,814392.0,814392.0,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,AIDED,資助,PRIMARY,小學,25572244,25572244,25575324,25575324,https://www.mengtak.edu.hk,https://www.mengtak.edu.hk,CATHOLICISM,天主教
513385000123,Aided Primary Schools,資助小學,PUI TAK CANOSSIAN PRIMARY SCHOOL,嘉諾撒培德學校,180 ABERDEEN MAIN ROAD HONG KONG,香港香港仔大道180號,114.15578409,114.15578409,22.2491943,22.2491943,834094.0,834094.0,812270.0,812270.0,CO-ED,男女,WHOLE DAY,全日,SOUTHERN,南區,AIDED,資助,PRIMARY,小學,25529529,25529529,25521603,25521603,http://www.ptcps.edu.hk,http://www.ptcps.edu.hk,CATHOLICISM,天主教
579220000123,Aided Primary Schools,資助小學,SHA TIN WAI DR. CATHERINE F. WOO MEMORIAL SCHOOL,沙田圍胡素貞博士紀念學校,"2 JAT MIN CHUEN STREET, SHATIN, NEW TERRITORIES",新界沙田乙明邨街2號,114.19111873,114.19111873,22.37555121,22.37555121,837735.0,837735.0,826262.0,826262.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26468926,26468926,26869969,26869969,http://www.stwdcfwms.edu.hk,http://www.stwdcfwms.edu.hk,NOT APPLICABLE,不適用
170194000223,Aided Primary Schools,資助小學,ST. STEPHEN'S GIRLS' PRIMARY SCHOOL,聖士提反女子中學附屬小學,33 PARK ROAD HONG KONG,香港柏道三十三號,114.14462956,114.14462956,22.28391533,22.28391533,832945.0,832945.0,816115.0,816115.0,GIRLS,女,WHOLE DAY,全日,CENTRAL AND WESTERN,中西區,AIDED,資助,PRIMARY,小學,25405088,25405088,25414723,25414723,http://www.ssgps.edu.hk,http://www.ssgps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
511439000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA CHEUNG CHAU CHURCH KAM KONG PRIMARY SCHOOL,中華基督教會長洲堂錦江小學,NO.1 PEAK ROAD WEST CHEUNG CHAU NEW TERRITORIES,新界長洲山頂道西一號,114.02822368,114.02822368,22.2036041,22.2036041,820940.0,820940.0,807229.0,807229.0,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,AIDED,資助,PRIMARY,小學,29810435,29810435,29816341,29816341,http://www.ccckamkongsch.edu.hk,http://www.ccckamkongsch.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
543179000123,Aided Primary Schools,資助小學,S.K.H. TSING YI CHU YAN PRIMARY SCHOOL,聖公會青衣主恩小學,CHEUNG WANG ESTATE TSING YI NEW TERRITORIES,新界青衣長宏邨,114.09526408,114.09526408,22.35709996,22.35709996,827862.0,827862.0,824221.0,824221.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24332225,24332225,24339555,24339555,http://www.tycy.edu.hk,http://www.tycy.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
113190000123,Aided Primary Schools,資助小學,S.K.H. CHU YAN PRIMARY SCHOOL,聖公會主恩小學,ESTATE SCHOOL NO 2 KWAI SHING ESTATE KWAI SHING NEW TERRITORIES,新界葵盛葵盛西邨第二號校舍,114.12103874,114.12103874,22.36111143,22.36111143,830517.0,830517.0,824664.0,824664.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24201915,24201915,24100695,24100695,http://www.chuyan.edu.hk,http://www.chuyan.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115355000123,Aided Primary Schools,資助小學,CNEC LUI MING CHOI PRIMARY SCHOOL,中華傳道會呂明才小學,CHEUNG FAT ESTATE TSING YI NEW TERRITORIES,新界青衣長發邨,114.10169796,114.10169796,22.36251237,22.36251237,828525.0,828525.0,824820.0,824820.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24977557,24977557,24357445,24357445,http://www.cneclmc.edu.hk,http://www.cneclmc.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
511366000123,Aided Primary Schools,資助小學,CARMEL LEUNG SING TAK SCHOOL,迦密梁省德學校,ESTATE SCHOOL NO 2 SHUN ON ESTATE KWUN TONG KOWLOON,九龍順安邨第二座校舍,114.22539852,114.22539852,22.32822535,22.32822535,841267.1,841267.1,821022.1,821022.1,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,23458063,23458063,23438678,23438678,http://www.clst.edu.hk,http://www.clst.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
114758000123,Aided Primary Schools,資助小學,LUI CHEUNG KWONG LUTHERAN PRIMARY SCHOOL,路德會呂祥光小學,ON TING ESTATE TUEN MUN NEW TERRITORIES,新界屯門安定邨,113.97760321,113.97760321,22.38641027,22.38641027,815747.0,815747.0,827478.0,827478.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24503128,24503128,24400048,24400048,http://www.lckps.edu.hk,http://www.lckps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115126000123,Aided Primary Schools,資助小學,SUNG TAK WONG KIN SHEUNG MEMORIAL SCHOOL,大埔崇德黃建常紀念學校,TUNG CHEONG STREET TAI PO NEW TERRITORIES,新界大埔東昌街,114.16937444,114.16937444,22.44892441,22.44892441,835496.0,835496.0,834387.0,834387.0,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26535565,26535565,26562856,26562856,http://www.wks.edu.hk,http://www.wks.edu.hk,NOT APPLICABLE,不適用
535630000123,Aided Primary Schools,資助小學,HKFYG LEE SHAU KEE PRIMARY SCHOOL,香港青年協會李兆基小學,11 TIN WING ROAD TIN SHUI WAI YUEN LONG NEW TERRITORIES,新界元朗天水圍天榮路十一號,114.00129024,114.00129024,22.46133624,22.46133624,818196.0,818196.0,835772.0,835772.0,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24481011,24481011,24481823,24481823,http://www.lskps.edu.hk,http://www.lskps.edu.hk,NOT APPLICABLE,不適用
535800000123,Aided Primary Schools,資助小學,LOK WAH CATHOLIC PRIMARY SCHOOL,樂華天主教小學,81 CHUN WAH ROAD KWUN TONG KOWLOON,九龍觀塘振華道八十一號,114.22170698,114.22170698,22.32176864,22.32176864,840887.0,840887.0,820307.0,820307.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,27585767,27585767,27583258,27583258,http://www.lwcps.edu.hk,http://www.lwcps.edu.hk,CATHOLICISM,天主教
543195000123,Aided Primary Schools,資助小學,S.K.H. YAN LAAP MEMORIAL PRIMARY SCHOOL,聖公會仁立紀念小學,13 SHEUNG KOK STREET KWAI CHUNG NEW TERRITORIES,新界葵涌上角街十三號,114.12816194,114.12816194,22.37001784,22.37001784,831251.0,831251.0,825650.0,825650.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24286600,24286600,24286111,24286111,http://www.ylm.edu.hk,http://www.ylm.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
115037000123,Aided Primary Schools,資助小學,TAOIST CHING CHUNG PRIMARY SCHOOL,道教青松小學,SHAN KING ESTATE AREA 7 & 8 TUEN MUN NEW TERRITORIES,新界屯門第七及第八區山景邨,113.96683707,113.96683707,22.39743189,22.39743189,814640.0,814640.0,828700.0,828700.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24651222,24651222,24642996,24642996,http://www.tccps.edu.hk,http://www.tccps.edu.hk,TAOISM,道教
522023000123,Aided Primary Schools,資助小學,CHING CHUNG HAU PO WOON PRIMARY SCHOOL,青松侯寶垣小學,FU TUNG ESTATE TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌富東邨,113.94386645,113.94386645,22.28843824,22.28843824,812256.0,812256.0,816634.0,816634.0,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,AIDED,資助,PRIMARY,小學,21090070,21090070,21090013,21090013,http://www.cchpwps.edu.hk,http://www.cchpwps.edu.hk,TAOISM,道教
