school_id,stage,reason,candidate_info,top_candidates,source_url
edb_560553000123,小學,Ambiguous CHSC match,PUI KIU COLLEGE | 拔萃男書院 | 觀塘區,Pui Kiu Primary School(1.000); Pui Kiu College(1.000),
edb_527882000123,小學,No CHSC match,AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH) | HONGKONG JAPANESE SCHOOL | 東區,"Alliance Primary School, Whampoa(0.286); Emmanuel Primary School, Kowloon(0.286); L.S.T. Leung Kau Kui Primary School (Branch)(0.273)",
edb_518620000223,小學,No CHSC match,LANTAU INTERNATIONAL SCHOOL | 哈羅香港國際學校 | 九龍城區,香港潮商學校(0.200); 香港嘉諾撒學校(0.182); Lions Clubs International Ho Tak Sum Primary School(0.143),
edb_216003000223,小學,No CHSC match,"SINGAPORE INTERNATIONAL SCHOOL (HONG KONG) | NORD ANGLIA INTERNATIONAL SCHOOL, HONG KONG | 南區","Canossa School (Hong Kong)(0.500); Chiu Sheung School, Hong Kong(0.429); Chiu Yang Primary School of Hong Kong(0.333)",
edb_215520000123,小學,No CHSC match,NORWEGIAN INTERNATIONAL SCHOOL | 宣道會劉平齋紀念國際學校 | 南區,宣道會葉紹蔭紀念小學(0.176); 基督教宣道會徐澤林紀念小學(0.150); Lions Clubs International Ho Tak Sum Primary School(0.143),
edb_216275000623,小學,No CHSC match,AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG | 耀中國際學校 | 大埔區,"Canossa School (Hong Kong)(0.500); Chiu Sheung School, Hong Kong(0.429); Chiu Yang Primary School of Hong Kong(0.333)",
edb_539155000323,小學,No CHSC match,HONG KONG ACADEMY | 耀中國際學校 | 東區,"Canossa School (Hong Kong)(0.400); Hong Kong Baptist Convention Primary School(0.400); Chiu Sheung School, Hong Kong(0.333)",
edb_215589000123,小學,No CHSC match,CHINESE INTERNATIONAL SCHOOL | LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 九龍城區,"Chinese Y.M.C.A. Primary School(0.200); Chinese Methodist School (North Point)(0.167); Chinese Methodist School, Tanner Hill(0.167)",
edb_570370000323,小學,No CHSC match,THE HARBOUR SCHOOL | 德瑞國際學校 | 離島區,救恩學校(0.143); 慈幼學校(0.143); 聖家學校(0.143),
edb_214949000123,小學,No CHSC match,LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 香港墨爾文國際學校 | 大埔區,香港潮商學校(0.182); 香港嘉諾撒學校(0.167); 香港道教聯合會雲泉學校(0.125),
edb_607525000123,小學,No CHSC match,SHREWSBURY INTERNATIONAL SCHOOL HONG KONG | LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 東區,"Canossa School (Hong Kong)(0.500); Chiu Sheung School, Hong Kong(0.429); Chiu Yang Primary School of Hong Kong(0.333)",
edb_230979000123,中學,No CHSC match,INTERNATIONAL COLLEGE HONG KONG HONG LOK YUEN (PRIMARY SECTION) | 弘爵國際學校 | 觀塘區,Munsang College (Hong Kong Island)(0.300); Wah Yan College Hong Kong(0.300); Hong Kong Sea School(0.222),
edb_548430000633,中學,No CHSC match,THE INTERNATIONAL MONTESSORI SCHOOL - AN IMEF SCHOOL | CARMEL SCHOOL | 南區,Delia Memorial School (Broadway)(0.143); Concordia Lutheran School - North Point(0.125); Delia Memorial School (Glee Path)(0.125),
edb_598356000333,中學,No CHSC match,"NORD ANGLIA INTERNATIONAL SCHOOL, HONG KONG | 宣道國際學校 | 東區",The True Light School of Hong Kong(0.333); Hong Kong Sea School(0.286); Hong Kong True Light College(0.250),
edb_216003000433,中學,No CHSC match,SINGAPORE INTERNATIONAL SCHOOL (HONG KONG) | 加拿大國際學校 | 九龍城區,The True Light School of Hong Kong(0.375); Hong Kong Sea School(0.333); Hong Kong True Light College(0.286),
edb_230987000233,中學,No CHSC match,DISCOVERY BAY INTERNATIONAL SCHOOL | 協同國際學校 | 西貢區,德望學校(0.143); Lions Clubs International Tseung Chui King College(0.125); 鄧鏡波學校(0.125),
edb_214558000133,中學,No CHSC match,GERMAN SWISS INTERNATIONAL SCHOOL | 漢基國際學校 | 九龍城區,德望學校(0.143); Lions Clubs International Tseung Chui King College(0.125); 鄧鏡波學校(0.125),
edb_216216000133,中學,No CHSC match,KOREAN INTERNATIONAL SCHOOL | HONG KONG INTERNATIONAL SCHOOL | 屯門區,Lions Clubs International Tseung Chui King College(0.143); Diocesan Boys' School(0.000); Diocesan Girls' School(0.000),
edb_230987000133,中學,No CHSC match,DISCOVERY BAY INTERNATIONAL SCHOOL | LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL) | 北區,Lions Clubs International Tseung Chui King College(0.125); Diocesan Boys' School(0.000); Diocesan Girls' School(0.000),
edb_317357000133,中學,No CHSC match,HONGKONG JAPANESE SCHOOL | 香港墨爾文國際學校 | 大埔區,香港航海學校(0.182); 香港仔工業學校(0.167); 德望學校(0.100),
edb_543560000423,小學,No CHSC match,PO LEUNG KUK CHOI KAI YAU SCHOOL | 博睿學校 | 西貢區,Po Leung Kuk Castar Primary School(0.429); Po Leung Kuk Grandmont Primary School(0.429); Po Leung Kuk Chan Yat Primary School(0.375),
edb_609781000223,小學,No CHSC match,HONGKONG LIMAI SCHOOL | 鄉師自然學校 | 西貢區,救恩學校(0.143); 慈幼學校(0.143); 聖家學校(0.143),
edb_617334000123,小學,No CHSC match,OXBRIDGE BRITISH SCHOOL | 花園華德福學校 | 九龍城區,華德學校(0.286); 九龍塘天主教華德學校(0.154); 救恩學校(0.125),
edb_609498000223,小學,No CHSC match,SPANISH SCHOOL OF HONG KONG | 奧柏學校 | 大埔區,"Canossa School (Hong Kong)(0.500); Chiu Yang Primary School of Hong Kong(0.500); Chiu Sheung School, Hong Kong(0.429)",
edb_579009000123,小學,No CHSC match,SILVERMINE BAY SCHOOL | 漢鼎書院 | 南區,Aldrich Bay Government Primary School(0.250); 播道書院(0.200); 培僑書院(0.200),
edb_608319000223,小學,No CHSC match,ISLAND WALDORF SCHOOL | 安菲爾學校 | 深水埗區,救恩學校(0.167); 慈幼學校(0.167); 聖家學校(0.167),
edb_569836000123,小學,No CHSC match,INTERNATIONAL CHRISTIAN SCHOOL | 智新書院 | 元朗區,International Christian Quality Music Sec. and Pri. School(0.286); Christian Pui Yan Primary School(0.250); 播道書院(0.200),
edb_560138000223,小學,No CHSC match,VICTORIA SHANGHAI ACADEMY | 啓思小學 | 南區,啟思小學(0.500); Shanghai Alumni Primary School(0.250); Anchors Academy(0.250),
edb_216232000123,小學,No CHSC match,KLT FUNFUL ENGLISH PRIMARY SCHOOL | 聖若望英文書院 | 中西區,聖若望英文書院（小學部）(0.667); Gigamind English Primary School(0.250); Zenith English Primary School(0.250),
edb_600814000123,中學,No CHSC match,DISCOVERY MONTESSORI ACADEMY | STAMFORD AMERICAN SCHOOL HONG KONG (WEST KOWLOON) | 深水埗區,ELCHK Lutheran Academy(0.200); HKCCCU Logos Academy(0.200); Tsung Tsin Christian Academy(0.167),
edb_215287000933,中學,No CHSC match,RUDOLF STEINER EDUCATION FOUNDATION HONG KONG MARIA COLLEGE | 保良局蔡繼有學校 | 灣仔區,Hong Kong Sea School(0.250); Hong Kong True Light College(0.222); Munsang College (Hong Kong Island)(0.200),
edb_289094000233,中學,No CHSC match,BEACON COLLEGE | 遵理學校 | 元朗區,德望學校(0.200); 鄧鏡波學校(0.167); 聖保祿學校(0.167),
edb_240656000234,中學,No CHSC match,LUI CHEUNG KWONG LUTHERAN EVENING COLLEGE | 香港西班牙學校 | 油尖旺區,Lui Cheung Kwong Lutheran College(0.800); Lui Ming Choi Lutheran College(0.286); 香港航海學校(0.222),
edb_609781000233,中學,No CHSC match,HONGKONG LIMAI SCHOOL | 香港威雅學校(九龍) | 大埔區,九龍工業學校(0.200); 香港航海學校(0.200); 香港仔工業學校(0.182),
edb_215287001134,中學,No CHSC match,RUDOLF STEINER EDUCATION FOUNDATION HONG KONG MARIA COLLEGE | 香港華德福教育基金會瑪利亞書院 | 九龍城區,Hong Kong Sea School(0.250); Hong Kong True Light College(0.222); Munsang College (Hong Kong Island)(0.200),
edb_315699000333,中學,No CHSC match,WAHHAR COLLEGE HONG KONG | 劍津英國學校 | 油尖旺區,Munsang College (Hong Kong Island)(0.500); Wah Yan College Hong Kong(0.500); Hong Kong Sea School(0.400),
edb_533343000134,中學,No CHSC match,PO LEUNG KUK & SPROUTS FOUNDATION SECONDARY EDUCATION SERVICES CENTRE | 遵理學校(旺角) | 油尖旺區,Po Leung Kuk Tong Nai Kan Junior Secondary College(0.286); Po Leung Kuk Wu Chung College(0.250); Po Leung Kuk Ngan Po Ling College(0.250),
edb_612820000133,中學,No CHSC match,ANANTARA COLLEGE | 大光德萃書院 | 西貢區,播道書院(0.143); 崇真書院(0.143); 皇仁書院(0.143),
edb_621374000133,中學,No CHSC match,HONG KONG BLUEBELL COLLEGE | 香港華德福教育基金會瑪利亞書院 | 東區,Hong Kong Sea School(0.500); Hong Kong True Light College(0.400); Munsang College (Hong Kong Island)(0.333),
edb_607819000133,中學,No CHSC match,HAN ACADEMY | 香港威雅學校 | 大埔區,ELCHK Lutheran Academy(0.250); HKCCCU Logos Academy(0.250); 香港航海學校(0.250),
edb_215287001334,中學,No CHSC match,RUDOLF STEINER EDUCATION FOUNDATION HONG KONG MARIA COLLEGE | 香港華德福教育基金會瑪利亞書院 | 中西區,Hong Kong Sea School(0.250); Hong Kong True Light College(0.222); Munsang College (Hong Kong Island)(0.200),
edb_608327000133,中學,No CHSC match,SHEMA ACADEMY | 馬錦明慈善基金馬陳端喜紀念夜校 | 東區,馬錦明慈善基金馬陳端喜紀念中學(0.750); 馬錦明慈善基金馬可賓紀念中學(0.421); ELCHK Lutheran Academy(0.250),
edb_567485000133,中學,No CHSC match,RENAISSANCE COLLEGE | 耀中國際學校（中學） | 元朗區,九龍塘學校（中學部）(0.273); 瑪利諾修院學校（中學部）(0.231); 西貢崇真天主教學校（中學部）(0.200),
edb_553867000333,中學,No CHSC match,INTERNATIONAL CHRISTIAN QUALITY MUSIC SECONDARY AND PRIMARY SCHOOL | 弘立書院 | 沙田區,Christian & Missionary Alliance Sun Kei Secondary School(0.200); 播道書院(0.200); 崇真書院(0.200),
edb_513725000133,中學,No CHSC match,HONG KONG ADVENTIST ACADEMY | 滬江維多利亞學校 | 離島區,Hong Kong Sea School(0.400); Hong Kong True Light College(0.333); Munsang College (Hong Kong Island)(0.286),
edb_526720000134,中學,No CHSC match,ASSEMBLY OF GOD HEBRON EVENING SCHOOL | 路德會沙田夜校 | 九龍城區,Assembly of God Hebron Secondary School(0.800); 路德會協同中學(0.200); 路德會呂明才中學(0.182),
